name,latitude,longitude,source,code_courses,notes
1920 Commons,39.95242,-75.19943,Lu,,
Community College House,39.95357,-75.19605,Lu,,
Education Building,39.95337,-75.19678,Lu,,
Goldberg College House,39.95101,-75.19728,Lu,,
"Gregory College House, Van Pelt Manor",39.95160,-75.20170,Lu,,
Hamilton College House,39.95285,-75.20139,Lu,,fix
Harnwell College House,39.95244,-75.20020,Lu,,
Harrison College House,39.95252,-75.20429,Lu,,
Hill College House,39.95296,-75.19056,Lu,,
Hollenback Center,39.94889,-75.18971,Lu,,
International House,39.95540,-75.19693,Lu,,
Kings Court English College House,39.95364,-75.19281,Lu,,
Lab for Research on the Structure of Matter,39.95289,-75.18961,Lu,,
"Lewis Hall, Law School",39.95433,-75.19181,Lu,,
National Center For Adult Literacy,39.95540,-75.20047,Lu,,
Rodin College House,39.95285,-75.20139,Lu,,fix
"Solomon Hall, Psychology Labs",39.95285,-75.20139,Lu,,fix
Stemmler Hall,39.94936,-75.19468,Lu,,
Stouffer College House - Stouffer Hall,39.950839,-75.198712,Matt,,
Wawa Spruce St.,39.95106,-75.19895,Lu,,
1920 Commons,,,TEMP,,
3401 Market Street,,,TEMP,,
3440 Market Street,,,TEMP,,
3600 Market Street,,,TEMP,,
Anatomy/Chemistry Building,,,TEMP,,
Annenberg Center,,,TEMP,,
Annenberg School,,,TEMP,,
Biomedical Library,,,TEMP,,
Biomedical Research Building,,,TEMP,,
Blockley Hall,,,TEMP,,
Caster Building,,,TEMP,,
Center for Programs in Contemporary Writing,,,TEMP,,
Charles Addams Fine Arts Hall,,,TEMP,,
Chemistry Building,,,TEMP,,
Chemistry Labs,,,TEMP,,
Claire M. Fagin Hall,,,TEMP,,
Claire M. Fagin Hall,,,TEMP,,
Claudia Cohen Hall,,,TEMP,,
Clinical Research Building,,,TEMP,,
College Hall,,,TEMP,,
Colonial Penn Center,,,TEMP,,
Cosi (36th & Walnut),,,TEMP,,
CRIM,,,TEMP,,
David Rittenhouse Labs,,,TEMP,,
Education Building,,,TEMP,,
Fels Center,,,TEMP,,
Fisher-Bennett Hall,,,TEMP,,
Furness Building,,,TEMP,,
Goddard Labs,,,TEMP,,
Gregory College House,,,TEMP,,
Harnwell College House,,,TEMP,,
Harrison College House,,,TEMP,,
Hayden Hall,,,TEMP,,
Hill College House,,,TEMP,,
Hollenback Center,,,TEMP,,
Houston Hall,,,TEMP,,
International House,,,TEMP,,
Iron Gate Theatre,,,TEMP,,
Jaffe Building,,,TEMP,,
John Morgan Building,,,TEMP,,
Johnson Pavilion,,,TEMP,,
Jon M. Huntsman Hall,,,TEMP,,
Kelly Writers House,,,TEMP,,
Kings Court/English College House,,,TEMP,,
Lab for Research on the Structure of Matter,,,TEMP,,
Lauder-Fischer Hall,,,TEMP,,
Leidy Labs,,,TEMP,,
Levine Hall,,,TEMP,,
Lippincott Library,,,TEMP,,
Lovers & Madmen (40th & Chestnut),,,TEMP,,
McNeil Building,,,TEMP,,
McNeil Center for Early American Studies,,,TEMP,,
MELL,,,TEMP,,
Meyerson Hall,,,TEMP,,
Moore Building,,,TEMP,,
Morgan Building,,,TEMP,,
Museum Library,,,TEMP,,
Music Building,,,TEMP,,
Penn Bookstore,,,TEMP,,
Rodin College House,,,TEMP,,
sample building,,,TEMP,,
Saxbys Coffee (40th & Locust),,,TEMP,,
Skirkanich Hall,,,TEMP,,
"Solomon Hall, Psychology Labs",,,TEMP,,
Starbucks (34th & Chestnut),,,TEMP,,
Starbucks (34th & Walnut),,,TEMP,,
Steinberg-Dietrich Hall,,,TEMP,,
Stellar-Chance Laboratories,,,TEMP,,
Stiteler Hall,,,TEMP,,
Stouffer College House - Mayer Hall,,,TEMP,,
Stouffer College House - Stouffer Hall,,,TEMP,,
"The Arts, Research and Culture House",,,TEMP,,
"The Arts, Research and Culture House",,,TEMP,,
Towne Building,,,TEMP,,
Towne Building,,,TEMP,,
University Museum,,,TEMP,,
Van Pelt Library,,,TEMP,,
W.E.B. Du Bois College House,,,TEMP,,
Ware College House,,,TEMP,,
Williams Hall,,,TEMP,,
